id,fromObservationId,toObservationId,score,confidence,reasons,blockingReasons,reviewStatus
person-link::5195852::273210,5195852,273210,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::6917888::2519539,6917888,2519539,2,likely,same_place|same_name|plausible_age_progression,,accepted
person-link::6917889::2519540,6917889,2519540,2,likely,same_place|same_name|plausible_age_progression,,accepted
person-link::6917891::2519542,6917891,2519542,2,likely,same_place|same_name|plausible_age_progression,,accepted
person-link::6917893::2519543,6917893,2519543,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::6921814::3239226,6921814,3239226,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::6923213::3240514,6923213,3240514,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7130324::3165891,7130324,3165891,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7130328::3165895,7130328,3165895,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7130343::3165863,7130343,3165863,2,likely,same_place|same_name|plausible_age_progression,,accepted
person-link::7130344::3165864,7130344,3165864,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7130345::3165865,7130345,3165865,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7131866::3167257,7131866,3167257,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7131867::3167258,7131867,3167258,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7131869::3167259,7131869,3167259,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7131870::3167260,7131870,3167260,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7131872::3167262,7131872,3167262,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7131873::3167263,7131873,3167263,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::7388543::3236945,7388543,3236945,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::8227730::4112831,8227730,4112831,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::8227731::4112832,8227731,4112832,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::8227732::4112833,8227732,4112833,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::8227735::4112834,8227735,4112834,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::8230055::4115004,8230055,4115004,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::8230058::4115006,8230058,4115006,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::8230060::4115007,8230060,4115007,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3165864::1361508,3165864,1361508,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3165866::1361507,3165866,1361507,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3165867::1361509,3165867,1361509,2,likely,same_place|same_name|plausible_age_progression,,accepted
person-link::3167257::1504942,3167257,1504942,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3167258::1504943,3167258,1504943,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3167262::1504945,3167262,1504945,2,likely,same_place|same_name|plausible_age_progression,,accepted
person-link::3167264::1504947,3167264,1504947,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3167265::1504948,3167265,1504948,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3167266::1504949,3167266,1504949,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3236946::983488,3236946,983488,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3239226::1506829,3239226,1506829,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3240252::1517887,3240252,1517887,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3240254::1517889,3240254,1517889,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3240255::1517890,3240255,1517890,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3240258::1517892,3240258,1517892,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3240517::1518172,3240517,1518172,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3240518::1518173,3240518,1518173,3,strong,same_place|same_name|plausible_age_progression,,accepted
person-link::3240519::1518175,3240519,1518175,3,strong,same_place|same_name|plausible_age_progression,,accepted
